# Unicorn 5 Synthetic Chromatogram
Run_001_UV	Run_001_Cond	Run_001_pH	Run_001_Conc
mL	mAU	mL	mS/cm	mL	pH	mL	%
21.636	51.91	21.636	29.41	21.636	6.30	21.636	72.12
21.686	57.14	21.686	29.47	21.686	6.19	21.686	72.29
21.736	45.55	21.736	29.53	21.736	6.25	21.736	72.45
21.786	64.85	21.786	29.60	21.786	6.40	21.786	72.62
21.836	59.14	21.836	29.66	21.836	6.21	21.836	72.79
21.886	46.11	21.886	29.72	21.886	6.20	21.886	72.95
21.937	26.96	21.937	29.79	21.937	6.24	21.937	73.12
21.987	58.42	21.987	29.85	21.987	6.36	21.987	73.29
22.037	65.04	22.037	29.91	22.037	6.33	22.037	73.46
22.087	53.67	22.087	29.98	22.087	6.23	22.087	73.62
22.137	47.25	22.137	30.04	22.137	6.27	22.137	73.79
22.187	44.05	22.187	30.10	22.187	6.15	22.187	73.96
22.237	47.27	22.237	30.17	22.237	6.28	22.237	74.12
22.287	36.09	22.287	30.23	22.287	6.21	22.287	74.29
22.337	61.85	22.337	30.29	22.337	6.21	22.337	74.46
22.387	49.52	22.387	30.36	22.387	6.26	22.387	74.62
22.437	38.87	22.437	30.42	22.437	6.26	22.437	74.79
22.487	72.62	22.487	30.48	22.487	6.24	22.487	74.96
22.538	44.23	22.538	30.55	22.538	6.23	22.538	75.13
22.588	41.43	22.588	30.61	22.588	6.35	22.588	75.29
22.638	66.96	22.638	30.67	22.638	6.26	22.638	75.46
22.688	42.62	22.688	30.74	22.688	6.21	22.688	75.63
22.738	33.01	22.738	30.80	22.738	6.21	22.738	75.79
22.788	59.22	22.788	30.86	22.788	6.18	22.788	75.96
22.838	53.62	22.838	30.93	22.838	6.23	22.838	76.13
22.888	46.20	22.888	30.99	22.888	6.17	22.888	76.29
22.938	64.48	22.938	31.06	22.938	6.15	22.938	76.46
22.988	42.77	22.988	31.12	22.988	6.20	22.988	76.63
23.038	57.05	23.038	31.18	23.038	6.11	23.038	76.79
23.088	41.33	23.088	31.25	23.088	6.24	23.088	76.96
23.139	49.31	23.139	31.31	23.139	6.19	23.139	77.13
23.189	55.24	23.189	31.37	23.189	6.19	23.189	77.30
23.239	49.67	23.239	31.44	23.239	6.22	23.239	77.46
23.289	56.27	23.289	31.50	23.289	6.13	23.289	77.63
23.339	44.63	23.339	31.56	23.339	6.20	23.339	77.80
23.389	66.50	23.389	31.63	23.389	6.18	23.389	77.96
23.439	47.67	23.439	31.69	23.439	6.24	23.439	78.13
23.489	54.67	23.489	31.75	23.489	6.10	23.489	78.30
23.539	47.91	23.539	31.82	23.539	6.16	23.539	78.46
23.589	69.35	23.589	31.88	23.589	6.22	23.589	78.63
23.639	59.93	23.639	31.94	23.639	6.31	23.639	78.80
23.689	36.58	23.689	32.01	23.689	6.15	23.689	78.96
23.740	57.44	23.740	32.07	23.740	6.27	23.740	79.13
23.790	51.17	23.790	32.13	23.790	6.23	23.790	79.30
23.840	46.27	23.840	32.20	23.840	6.16	23.840	79.47
23.890	49.30	23.890	32.26	23.890	6.18	23.890	79.63
23.940	46.08	23.940	32.32	23.940	6.25	23.940	79.80
23.990	37.91	23.990	32.39	23.990	6.22	23.990	79.97
24.040	54.36	24.040	32.45	24.040	6.18	24.040	80.13
24.090	43.07	24.090	32.51	24.090	6.18	24.090	80.30
24.140	69.11	24.140	32.58	24.140	6.19	24.140	80.47
24.190	64.16	24.190	32.64	24.190	6.09	24.190	80.63
24.240	46.39	24.240	32.70	24.240	6.25	24.240	80.80
24.290	52.95	24.290	32.77	24.290	6.24	24.290	80.97
24.341	51.37	24.341	32.83	24.341	6.14	24.341	81.14
24.391	41.70	24.391	32.89	24.391	6.17	24.391	81.30
24.441	33.13	24.441	32.96	24.441	6.25	24.441	81.47
24.491	56.40	24.491	33.02	24.491	6.13	24.491	81.64
24.541	46.23	24.541	33.09	24.541	6.22	24.541	81.80
24.591	48.44	24.591	33.15	24.591	6.17	24.591	81.97
24.641	43.87	24.641	33.21	24.641	6.10	24.641	82.14
24.691	36.83	24.691	33.28	24.691	6.17	24.691	82.30
24.741	51.98	24.741	33.34	24.741	6.14	24.741	82.47
24.791	53.02	24.791	33.40	24.791	6.16	24.791	82.64
24.841	80.18	24.841	33.47	24.841	6.28	24.841	82.80
24.891	46.90	24.891	33.53	24.891	6.19	24.891	82.97
24.942	54.62	24.942	33.59	24.942	6.10	24.942	83.14
24.992	56.95	24.992	33.66	24.992	6.20	24.992	83.31
25.042	44.74	25.042	33.72	25.042	6.17	25.042	83.47
25.092	49.89	25.092	33.78	25.092	6.15	25.092	83.64
25.142	62.75	25.142	33.85	25.142	6.22	25.142	83.81
25.192	64.13	25.192	33.91	25.192	6.22	25.192	83.97
25.242	48.96	25.242	33.97	25.242	6.11	25.242	84.14
25.292	54.40	25.292	34.04	25.292	6.11	25.292	84.31
25.342	35.88	25.342	34.10	25.342	6.15	25.342	84.47
25.392	57.07	25.392	34.16	25.392	6.06	25.392	84.64
25.442	41.25	25.442	34.23	25.442	6.15	25.442	84.81
25.492	39.31	25.492	34.29	25.492	6.19	25.492	84.97
25.543	43.07	25.543	34.35	25.543	6.21	25.543	85.14
25.593	47.01	25.593	34.42	25.593	6.21	25.593	85.31
25.643	68.28	25.643	34.48	25.643	6.16	25.643	85.48
25.693	44.73	25.693	34.54	25.693	6.20	25.693	85.64
25.743	48.86	25.743	34.61	25.743	6.26	25.743	85.81
25.793	65.94	25.793	34.67	25.793	6.10	25.793	85.98
25.843	59.02	25.843	34.73	25.843	6.20	25.843	86.14
25.893	59.86	25.893	34.80	25.893	6.06	25.893	86.31
25.943	55.81	25.943	34.86	25.943	6.09	25.943	86.48
25.993	52.93	25.993	34.92	25.993	6.17	25.993	86.64
26.043	55.37	26.043	34.99	26.043	6.14	26.043	86.81
26.093	55.08	26.093	35.05	26.093	6.07	26.093	86.98
26.144	44.12	26.144	35.12	26.144	6.16	26.144	87.15
26.194	55.49	26.194	35.18	26.194	6.14	26.194	87.31
26.244	19.30	26.244	35.24	26.244	6.21	26.244	87.48
26.294	57.29	26.294	35.31	26.294	6.06	26.294	87.65
26.344	58.45	26.344	35.37	26.344	6.05	26.344	87.81
26.394	66.11	26.394	35.43	26.394	6.16	26.394	87.98
26.444	40.28	26.444	35.50	26.444	6.20	26.444	88.15
26.494	32.64	26.494	35.56	26.494	6.20	26.494	88.31
26.544	28.54	26.544	35.62	26.544	6.10	26.544	88.48
26.594	50.68	26.594	35.69	26.594	6.11	26.594	88.65
26.644	66.31	26.644	35.75	26.644	6.01	26.644	88.81
26.694	50.30	26.694	35.81	26.694	6.10	26.694	88.98
26.745	42.71	26.745	35.88	26.745	6.10	26.745	89.15
26.795	37.41	26.795	35.94	26.795	6.02	26.795	89.32
26.845	51.34	26.845	36.00	26.845	6.18	26.845	89.48
26.895	47.89	26.895	36.07	26.895	6.12	26.895	89.65
26.945	40.34	26.945	36.13	26.945	6.05	26.945	89.82
26.995	54.14	26.995	36.19	26.995	6.19	26.995	89.98
27.045	48.81	27.045	36.26	27.045	6.11	27.045	90.15
27.095	35.84	27.095	36.32	27.095	6.09	27.095	90.32
27.145	63.51	27.145	36.38	27.145	6.13	27.145	90.48
27.195	61.56	27.195	36.45	27.195	6.04	27.195	90.65
27.245	53.24	27.245	36.51	27.245	6.06	27.245	90.82
27.295	36.30	27.295	36.57	27.295	6.11	27.295	90.98
27.346	52.68	27.346	36.64	27.346	5.98	27.346	91.15
27.396	43.26	27.396	36.70	27.396	6.05	27.396	91.32
27.446	56.38	27.446	36.76	27.446	6.00	27.446	91.49
27.496	35.98	27.496	36.83	27.496	6.05	27.496	91.65
27.546	37.56	27.546	36.89	27.546	6.07	27.546	91.82
27.596	47.84	27.596	36.95	27.596	6.03	27.596	91.99
27.646	49.35	27.646	37.02	27.646	6.10	27.646	92.15
27.696	51.91	27.696	37.08	27.696	6.09	27.696	92.32
27.746	62.90	27.746	37.15	27.746	6.14	27.746	92.49
27.796	58.27	27.796	37.21	27.796	6.08	27.796	92.65
27.846	67.27	27.846	37.27	27.846	6.05	27.846	92.82
27.896	37.03	27.896	37.34	27.896	6.09	27.896	92.99
27.947	55.53	27.947	37.40	27.947	6.06	27.947	93.16
27.997	23.32	27.997	37.46	27.997	6.15	27.997	93.32
28.047	42.43	28.047	37.53	28.047	6.13	28.047	93.49
28.097	69.60	28.097	37.59	28.097	6.06	28.097	93.66
28.147	33.37	28.147	37.65	28.147	6.02	28.147	93.82
28.197	48.46	28.197	37.72	28.197	6.00	28.197	93.99
28.247	32.50	28.247	37.78	28.247	6.02	28.247	94.16
28.297	40.98	28.297	37.84	28.297	6.01	28.297	94.32
28.347	47.22	28.347	37.91	28.347	6.03	28.347	94.49
28.397	60.53	28.397	37.97	28.397	6.00	28.397	94.66
28.447	55.89	28.447	38.03	28.447	6.03	28.447	94.82
28.497	53.84	28.497	38.10	28.497	6.03	28.497	94.99
28.548	54.28	28.548	38.16	28.548	6.00	28.548	95.16
28.598	42.42	28.598	38.22	28.598	6.08	28.598	95.33
28.648	37.88	28.648	38.29	28.648	6.04	28.648	95.49
28.698	54.02	28.698	38.35	28.698	6.04	28.698	95.66
28.748	57.63	28.748	38.41	28.748	6.09	28.748	95.83
28.798	59.64	28.798	38.48	28.798	5.96	28.798	95.99
28.848	54.23	28.848	38.54	28.848	6.03	28.848	96.16
28.898	36.96	28.898	38.60	28.898	6.10	28.898	96.33
28.948	35.72	28.948	38.67	28.948	5.96	28.948	96.49
28.998	36.70	28.998	38.73	28.998	6.04	28.998	96.66
29.048	60.01	29.048	38.79	29.048	6.01	29.048	96.83
29.098	47.06	29.098	38.86	29.098	6.10	29.098	96.99
29.149	40.02	29.149	38.92	29.149	6.03	29.149	97.16
29.199	53.36	29.199	38.98	29.199	6.03	29.199	97.33
29.249	58.18	29.249	39.05	29.249	6.02	29.249	97.50
29.299	47.45	29.299	39.11	29.299	6.10	29.299	97.66
29.349	24.36	29.349	39.18	29.349	5.97	29.349	97.83
29.399	47.43	29.399	39.24	29.399	6.09	29.399	98.00
29.449	57.91	29.449	39.30	29.449	5.97	29.449	98.16
29.499	52.64	29.499	39.37	29.499	6.00	29.499	98.33
29.549	46.44	29.549	39.43	29.549	5.98	29.549	98.50
29.599	63.25	29.599	39.49	29.599	6.03	29.599	98.66
29.649	47.23	29.649	39.56	29.649	5.97	29.649	98.83
29.699	50.96	29.699	39.62	29.699	6.00	29.699	99.00
29.750	49.23	29.750	39.68	29.750	5.98	29.750	99.17
29.800	44.87	29.800	39.75	29.800	6.02	29.800	99.33
29.850	44.23	29.850	39.81	29.850	5.97	29.850	99.50
29.900	27.39	29.900	39.87	29.900	5.99	29.900	99.67
29.950	52.22	29.950	39.94	29.950	5.95	29.950	99.83
30.000	41.51	30.000	40.00	30.000	5.98	30.000	100.00
